"STATISTIC","Statistic Label","TLIST(A1)","Year","C02803V03373","Type of Residential Property","UNIT","VALUE"
"HPA06C01","Residential Property Price Index","2019","2019","05","Dublin - all residential properties","Base Jan 2005 = 100","105.4"
"HPA06C01","Residential Property Price Index","2019","2019","06","Dublin - houses","Base Jan 2005 = 100","110.6"
"HPA06C01","Residential Property Price Index","2019","2019","07","Dublin - apartments","Base Jan 2005 = 100","89.8"
"HPA06C01","Residential Property Price Index","2019","2019","08","Dublin City - houses","Base Jan 2005 = 100","113.1"
"HPA06C01","Residential Property Price Index","2019","2019","09","Dun Laoghaire-Rathdown - houses","Base Jan 2005 = 100","108.4"
"HPA06C01","Residential Property Price Index","2019","2019","10","Fingal - houses","Base Jan 2005 = 100","104.4"
"HPA06C01","Residential Property Price Index","2019","2019","11","South Dublin - houses","Base Jan 2005 = 100","111"
"HPA06C01","Residential Property Price Index","2019","2019","03","National excluding Dublin - all residential properties","Base Jan 2005 = 100","101.9"
"HPA06C01","Residential Property Price Index","2019","2019","04","National excluding Dublin - houses","Base Jan 2005 = 100","103.3"
"HPA06C01","Residential Property Price Index","2019","2019","12","National excluding Dublin - apartments","Base Jan 2005 = 100","79.2"
"HPA06C01","Residential Property Price Index","2019","2019","13","Border excluding Louth - houses","Base Jan 2005 = 100","80"
"HPA06C01","Residential Property Price Index","2019","2019","14","Midland - houses","Base Jan 2005 = 100","93.9"
"HPA06C01","Residential Property Price Index","2019","2019","15","West - houses","Base Jan 2005 = 100","100.6"
"HPA06C01","Residential Property Price Index","2019","2019","16","Mid-East including Louth - houses","Base Jan 2005 = 100","112.3"
"HPA06C01","Residential Property Price Index","2019","2019","17","Mid-West including South Tipperary - houses","Base Jan 2005 = 100","96.6"
"HPA06C01","Residential Property Price Index","2019","2019","18","South-East excluding South Tipperary - houses","Base Jan 2005 = 100","100"
"HPA06C01","Residential Property Price Index","2019","2019","19","South-West - houses","Base Jan 2005 = 100","110.7"
"HPA06C01","Residential Property Price Index","2020","2020","-","National - all residential properties","Base Jan 2005 = 100","107.9"
"HPA06C01","Residential Property Price Index","2020","2020","01","National - houses","Base Jan 2005 = 100","111.5"
"HPA06C01","Residential Property Price Index","2020","2020","02","National - apartments","Base Jan 2005 = 100","90.4"
"HPA06C01","Residential Property Price Index","2020","2020","05","Dublin - all residential properties","Base Jan 2005 = 100","104.8"
"HPA06C01","Residential Property Price Index","2020","2020","06","Dublin - houses","Base Jan 2005 = 100","110.1"
"HPA06C01","Residential Property Price Index","2020","2020","07","Dublin - apartments","Base Jan 2005 = 100","90.6"
"HPA06C01","Residential Property Price Index","2020","2020","08","Dublin City - houses","Base Jan 2005 = 100","110.5"
"HPA06C01","Residential Property Price Index","2020","2020","09","Dun Laoghaire-Rathdown - houses","Base Jan 2005 = 100","107.3"
